real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
7755,29.0,0.004517902620136738,70.92498779296875,-0.688385009765625,1.155350704114729e-05,2.1861662692875445e-05,0.010016360320150852,1.8417624235153198,-0.6904274225234985
7786,31.0,-0.028216827660799026,77.23368835449219,-0.6914477348327637,1.0235745321551803e-05,1.7865360556849435e-05,0.0056966571137309074,2.1499953269958496,-0.6902698278427124
7809,23.0,0.0014051985926926136,50.2409553527832,-0.691845178604126,1.069387902437787e-05,1.655648945112868e-05,0.0048304274678230286,2.099085569381714,-0.6886470317840576
7832,23.0,-0.05907632037997246,51.508056640625,-0.6818349957466125,9.099620456254343e-06,2.264034143687847e-05,0.0016846323851495981,1.9663734436035156,-0.6805708408355713
7851,19.0,-0.04151180014014244,37.32454299926758,-0.685787558555603,1.0274795992396927e-05,2.2377319207104545e-05,0.0105493925511837,1.949399709701538,-0.6769974231719971
7869,18.0,0.007316348142921925,34.318809509277344,-0.6827037334442139,9.236560193433737e-06,1.3423647336215557e-05,0.028399385511875153,1.8644661903381348,-0.6825453042984009
7894,25.0,-0.021335169672966003,58.159324645996094,-0.6912848949432373,1.0378628455024833e-05,1.6170666943556473e-05,-0.004218972288072109,1.9094314575195312,-0.6840774416923523
7909,15.0,-0.016155248507857323,23.89887809753418,-0.6900138258934021,1.0843009173792476e-05,1.9959171064935315e-05,-0.012860549613833427,1.925365924835205,-0.6861574053764343
7923,14.0,0.031282443553209305,20.764999389648438,-0.6825864911079407,1.1372289918654133e-05,2.1970498892187607e-05,-0.009233721531927586,1.8697118759155273,-0.6886051893234253
7933,10.0,0.0374673567712307,9.22291088104248,-0.6892135143280029,1.0315942139034936e-05,1.8554042374792818e-05,0.0022790629882365465,1.9705557823181152,-0.6914501786231995
7960,27.0,0.006273401901125908,64.84644317626953,-0.6911478638648987,1.0781122606810337e-05,1.724844575316335e-05,-0.010271080769598484,1.872728705406189,-0.6914007663726807
7977,17.0,-0.015523748472332954,30.473575592041016,-0.6888882517814636,9.34041660608879e-06,1.998953878986261e-05,-0.004393537994474173,1.7965593338012695,-0.6895856261253357
8008,31.0,0.0053857481107115746,78.32029724121094,-0.6873747110366821,9.471228622714989e-06,1.7227129925837897e-05,0.0204617977142334,1.8924225568771362,-0.6887000203132629
8038,30.0,-0.012560272589325905,74.4359359741211,-0.6895455718040466,9.36783029222473e-06,1.8770951707362354e-05,0.01077979989349842,2.0851495265960693,-0.6912692189216614
8048,10.0,0.0006167316460050642,9.362993240356445,-0.6912594437599182,1.0446620459939973e-05,2.2527986099400248e-05,0.004566112998872995,1.8821760416030884,-0.6911525726318359
8064,16.0,-0.004000665619969368,27.142276763916016,-0.6906936764717102,9.160499454689367e-06,1.823087829203966e-05,0.017069833353161812,1.9068037271499634,-0.690366804599762
8077,13.0,-0.011205965653061867,17.341796875,-0.6908702850341797,9.183787672858065e-06,1.6510485390123602e-05,-0.014560901559889317,2.212771415710449,-0.6889163255691528
8108,31.0,0.003277628216892481,80.11305236816406,-0.6913585662841797,8.939215755769206e-06,2.05043188543641e-05,0.008786681108176708,1.7634884119033813,-0.689552366733551
